trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Free_cholesterol_in_chylomicrons_and_extremely_large_VLDL	147	0.105699132168055	0.0246736847386362	1.83661072324617e-05	7.62193450147161e-05	0.00457316070088296	bonferroni_hit
Free_cholesterol_in_IDL	147	-0.0584621062260936	0.0295075437364697	0.0475621611840751	0.0722132813099677	1	nominal
Free_cholesterol_in_large_HDL	147	-0.0908262698555653	0.0287584733860425	0.0015872276364209	0.0033211737938555	0.395219681468804	fdr_only
Free_cholesterol_in_large_LDL	147	-0.0483531108394822	0.023850674548743	0.0426290062068015	0.0655223613919356	1	nominal
Free_cholesterol_in_large_VLDL	147	0.0924854574606402	0.0192294266238907	1.51248079214431e-06	1.98214588023123e-05	0.000376607717243933	bonferroni_hit
Free_cholesterol_in_LDL	147	-0.0410198885952372	0.0225004033275314	0.0682922626062846	0.0994431192337127	1	null
Free_cholesterol_in_medium_HDL	147	-0.0478614956087691	0.0217115970894362	0.0274947661959413	0.0438858768127525	1	fdr_only
Free_cholesterol_in_medium_LDL	147	-0.025100442866787	0.0192916577676885	0.193223040127185	0.248002767998294	1	null
Free_cholesterol_in_medium_VLDL	147	0.0234232678086054	0.0132725583831288	0.0775991989374382	0.112338375205943	1	null
Free_cholesterol_in_small_HDL	147	0.0234975452084711	0.0163020013568795	0.149474473655145	0.200102924409307	1	null
Free_cholesterol_in_small_LDL	147	-0.031725108678451	0.0209650086840406	0.130218477808846	0.179140336875153	1	null
Free_cholesterol_in_small_VLDL	147	0.0213986091414512	0.0135522645467043	0.114343107786542	0.160855558411576	1	null
Free_cholesterol_in_very_large_HDL	147	-0.0995476288773875	0.0328959372307945	0.0024769964287802	0.00481853211536148	0.61677211076627	fdr_only
Free_cholesterol_in_very_large_VLDL	147	0.0937084412037453	0.0195948240172193	1.73295749749892e-06	2.05479246132015e-05	0.000431506416877231	bonferroni_hit
Free_cholesterol_in_very_small_VLDL	147	0.0099755174276902	0.0194671861496688	0.608351996169126	0.652929513129795	1	null
Free_cholesterol_in_VLDL	147	0.0637149018622556	0.0134222639625452	2.06500439847308e-06	2.05674438087919e-05	0.000514186095219797	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	147	-0.0509118031505101	0.0136441909861638	0.0001904258603166	0.000534194556604305	0.0474160392188334	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_IDL	147	-0.110001883197734	0.0316743078190598	0.0005148562778873	0.00128776484959284	0.128199213193938	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_large_HDL	147	-0.0741803261775181	0.0346678402548893	0.0323754074365065	0.0513469837687269	1	nominal
Free_cholesterol_to_total_lipids_ratio_in_large_LDL	147	-0.128029689029068	0.027497914732877	3.2244619689095e-06	2.36144420664255e-05	0.000802891030258465	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_large_VLDL	147	0.0320705289227489	0.0108731813966799	0.0031828095721121	0.00609505645520108	0.792519583455913	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_medium_HDL	147	-0.0873369068997517	0.0349383072839749	0.0124282247836066	0.0211680915045524	1	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_medium_LDL	147	-0.123007598307954	0.0283070933581371	1.38978362502381e-05	6.40844671538757e-05	0.00346056122630929	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	147	-0.0958564960874071	0.0306959944070583	0.0017915837486862	0.00368681283820549	0.446104353422864	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_small_HDL	147	-0.065115983945966	0.0314805989888578	0.0385979098094875	0.0596949039910707	1	nominal
Free_cholesterol_to_total_lipids_ratio_in_small_LDL	147	-0.112134489391461	0.029365008427584	0.000134187688333	0.000415763450863448	0.033412734394917	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_small_VLDL	147	-0.109166211692086	0.0284678442920671	0.0001257074167501	0.000401296753471473	0.0313011467707749	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_very_large_HDL	147	0.0684693342794729	0.0213517948468913	0.0013425527067391	0.00289814817753058	0.334295623978036	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_very_large_VLDL	147	-0.0721063628958334	0.0226653036630957	0.0014658820031807	0.00311969759651277	0.365004618791994	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_very_small_VLDL	147	-0.0822785593267351	0.0328372191789147	0.0122226741069473	0.020989281742275	1	fdr_only
Gln	147	-0.0090710115006581	0.0143116818508329	0.526199151711216	0.5771964263264	1	null
Glucose	147	0.0155313883214478	0.0105921890805926	0.142564995111524	0.191884777204159	1	null
Gly	147	-0.0047649293883791	0.0132515767967915	0.719165339626937	0.758780379521641	1	null
GlycA	147	0.0996915617435949	0.0156567128925176	1.92338718074503e-10	2.39461704002756e-08	4.78923408005513e-08	bonferroni_hit
HDL_C	147	-0.0794460595665215	0.0247873651082077	0.0013501413196528	0.00289814817753058	0.336185188593547	fdr_only
HDL_CE	147	-0.0821994887228324	0.0240599629932192	0.0006344497741375	0.00153376692971104	0.157977993760238	fdr_only
HDL_FC	147	-0.0669503495772941	0.0266094677852851	0.0118683430331989	0.0205694185701701	1	fdr_only
HDL_L	147	-0.0550720254994006	0.0218954470469686	0.0118955673658815	0.0205694185701701	1	fdr_only
HDL_P	147	-0.0348566498511704	0.0189780012379257	0.0662561023244384	0.0970457028163833	1	null
HDL_PL	147	-0.0437499275699016	0.0206381183901347	0.0340178293622382	0.0536103766531475	1	nominal
HDL_size	147	-0.0878569034578301	0.0253551842402533	0.0005301389477311	0.0013069762176737	0.132004597985044	fdr_only
HDL_TG	147	0.0882643502389718	0.0196157079632811	6.80567880021262e-06	3.68394352446292e-05	0.00169461402125294	bonferroni_hit
His	147	0.0149037545910633	0.0100336625879513	0.137444434554261	0.187014558491863	1	null
IDL_CE	147	-0.0478904123211805	0.0250319032989838	0.0557256491425377	0.0825933728362612	1	null
IDL_CE_pct	147	-0.0800533474789138	0.0150732013974037	1.09042207254404e-07	3.39393870079332e-06	2.71515096063466e-05	bonferroni_hit
Isoleucine	147	0.0271678300905067	0.0107265921979332	0.0113170019576491	0.0198446020243284	1	fdr_only
Lactate	147	0.0141615245206472	0.010392575020567	0.172990349827268	0.226708405826262	1	null
LDL_cholesterol	147	-0.011983002604093	0.0182081554086614	0.510466270264581	0.562416377415401	1	null
Leucine	147	0.0249275336338167	0.0109457513375519	0.0227640968987018	0.0372911850511628	1	fdr_only
Linoleic_acid	147	0.0287691485014704	0.0273341266901044	0.292570543359573	0.353641093672494	1	null
Monounsaturated_fatty_acids	147	0.106175675846977	0.0230536797455179	4.11308429572167e-06	2.76799456658026e-05	0.0010241579896347	bonferroni_hit
Omega3_fatty_acids	147	-0.0676474358272536	0.0915098293455176	0.459763202470923	0.515680348717387	1	null
