locus_key	trait	locus	outcome	p12	nsnp	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	noUKBB	1e-05	2329	4.1231036475743e-35	0.979995682993456	7.12456697297872e-37	0.0169308808699228	0.00307343613661835
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	noUKBB	1e-04	2329	4.01212456983636e-35	0.953617734151503	6.93279932910477e-37	0.016475162628316	0.029907103220177
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	main	1e-06	2595	0.00180110046772734	0.351624398299556	0.003290840468006	0.642454368206553	0.000829292558158123
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	main	5e-06	2595	0.00179514566396758	0.350461856660967	0.00327996028139633	0.640330283650574	0.00413275374309522
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	main	1e-05	2595	0.00178775730328071	0.349019445242229	0.00326646080328488	0.637694847881041	0.00823148877016429
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	main	1e-04	2595	0.00166444924580271	0.324946317566626	0.0030411612417941	0.593710738398372	0.0766373335474058
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	noUKBB	1e-06	2481	0.00226712128293269	0.442002562237045	0.00281312568828661	0.548407592222098	0.00450959856963766
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	noUKBB	5e-06	2481	0.00222695066873124	0.434170817840596	0.00276328054432582	0.538690480932928	0.0221484700134196
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	noUKBB	1e-05	2481	0.00217869588818344	0.424762967981447	0.00270340427578935	0.527017842061491	0.0433370897930881
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	noUKBB	1e-04	2481	0.00156736899162345	0.305577436674361	0.0019448478590683	0.379140305060299	0.311770041414648
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	main	1e-06	2644	3.69275182594621e-05	0.0575924625728066	0.000603784462778279	0.941666230671655	0.000100594774500505
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	main	5e-06	2644	3.69126653744638e-05	0.0575692978906487	0.000603541610249539	0.941287476265994	0.000502771567732601
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	main	1e-05	2644	3.68941160618913e-05	0.057540368229506	0.000603238319174092	0.940814461504238	0.00100503783101927
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	main	1e-04	2644	3.65633877704357e-05	0.057024561653673	0.000597830736612517	0.932380760073147	0.00996028414879753
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	noUKBB	1e-06	2578	0.000213248148912523	0.327555074676038	0.000437218987576209	0.671578337169931	0.000216121017541315
